исходный_текст,текст_поиска,найденный_текст
"Солнце медленно скрылось за горизонтом, оставив после себя тёплые оттенки заката.",горизонт,горизонтом
"В старом сарае нашли ржавый велосипед, покрытый слоем пыли и паутиной.",амбар,сарае
"Кофе остыл, но она всё ещё держала чашку, глядя в окно.",стакан,чашку
"Дождь начался внезапно, заставив прохожих искать укрытие под навесами.",ливень,Дождь
"Дети смеялись, бегая по лужам, не обращая внимания на грозовые тучи.",вода,
"Он так и не решился позвонить, хотя думал об этом весь день.",думать,думал
"Книга упала с полки, раскрывшись на странице с загадочным рисунком.",стеллаж,полки
"Ветер шевелил листья, создавая странные узоры на пешеходной дорожке.",тротуар,пешеходной дорожке
"Она надела старую шляпу и вышла во двор, вдыхая аромат сирени.",головной убор,шляпу
"Автобус опоздал на двадцать минут, и пассажиры начали нервничать.",маршрутка,
"В зоопарке маленький слонёнок играл с мячом, вызывая улыбки посетителей.",слон,слонёнок
"Он забыл выключить свет, и теперь комната ярко освещена пустотой.",помещение,комната
На столе лежала записка с неразборчивым почерком и пятном от чая.,напиток,чая
"Птицы улетели на юг, оставив после себя тишину и холод.",мороз,холод
"Она перечитывала письмо снова и снова, пытаясь найти скрытый смысл.",сообщение,письмо
"В углу комнаты стоял старый пианино, на котором никто не играл годами.",фортепьяно,пианино
"Улицы были пустынны, лишь изредка мелькали огни проезжающих машин.",автомобиль,машин
"Он купил билет в один конец, не зная, когда вернётся.",талон,билет
"В парке продавали мороженое, и дети выстроились в длинную очередь.",аллея,парке
"Зеркало треснуло, оставив тонкую паутинку в правом углу.",паук,
"Она нарисовала цветок на обложке тетради, хотя не умела рисовать.",роза,цветок
"Телефон завис, и он с досадой потряс его в воздухе.",смартфон,Телефон
"В лесу пахло сыростью и хвоей, а под ногами хрустели ветки.",роща,лесу
"Он обещал прийти, но снова не появился, не предупредив.",гарантия,обещал
На кухне пахло корицей и яблоками — бабушка пекла пирог.,торт,пирог
"Собака зарычала, услышав шорох за дверью, но потом успокоилась.",пёс,Собака
"Вода в реке была ледяной, но он всё равно нырнул.",водоём,реке
"Она завязала шнурки и побежала, не оглядываясь назад.",вязать,завязала
"В кафе играла тихая музыка, но никто не обращал на неё внимания.",кофе,
"Он поставил стакан на стол так резко, что вода расплескалась.",кружка,стакан
"На балконе сушились простыни, развеваясь на ветру, как паруса.",постельное белье,простыни
"Она открыла окно, и в комнату ворвался шум города.",мегаполис,города
В кармане пальто он нашёл забытую конфету в смятом фантике.,леденец,конфету
"Фонарь мигнул и погас, оставив тротуар в темноте.",пешеходная дорожка,тротуар
"Врач сказал, что всё в порядке, но она всё равно волновалась.",доктор,Врач
"Он включил радио, но вместо музыки услышал только помехи.",приёмник,радио
"На стене висели часы, которые давно остановились на половине третьего.",время,часы
"В саду расцвели тюльпаны, яркие, как акварельные пятна.",цветы,тюльпаны
"Она задула свечи на торте, загадав желание про себя.",мечта,желание
"Поезд пронёсся мимо, оставив после себя лишь гул и ветер.",шум,гул
В холодильнике стояла банка с непонятным содержимым и без этикетки.,холодос,холодильнике
Он поправил очки и снова углубился в чтение старой газеты.,пресса,газеты
"На подоконнике стоял кактус, который никто не поливал уже месяц.",оконная столешница,подоконнике
Она надела разные носки и только потом заметила это.,чулки,
Ветер сорвал шляпу с его головы и унёс её вдаль.,метель,Ветер
На экране телевизора мелькали кадры старого чёрно-белого фильма.,телек,телевизора
"Он оставил ключи в замке и ушёл, не заперев дверь.",дворец,
"В траве стрекотали кузнечики, но их не было видно.",насекомые,кузнечики
"Она перевернула подушку, надеясь, что под ней окажется потерянная серёжка.",украшение,серёжка
"В магазине закончился хлеб, и кассир разводил руками.",супермаркет,магазине
"Он чиркнул спичкой, но она сломалась, не загоревшись.",зажигалка,
"На небе не было ни облачка, только бескрайняя синева.",тучи,облачка
"Она налила чай, но забыла положить сахар и теперь морщилась.",сахарный тростник,
В почтовом ящике лежала только реклама и счёт за электричество.,свет,электричество
"Он почесал затылок, пытаясь вспомнить, куда положил очки.",голова,затылок
"На скамейке спал бездомный кот, свернувшись клубком.",лавка,скамейке
"Она вытерла пыль с рамки, внутри которой улыбалась чужая семья.",родственники,семья
"В воздухе пахло грозой, хотя тучи ещё не появились.",атмосфера,воздухе
"Он выбросил письмо, не дочитав его до конца.",изучать,дочитав
В раковине лежала грязная тарелка с остатками вчерашнего ужина.,посуда,тарелка
"Она заклеила конверт, но потом передумала и разорвала его.",письмо,конверт
На тротуаре кто-то нарисовал мелом солнце и улыбающуюся рожицу.,изобразить,нарисовал
"Он перелез через забор, хотя мог просто обойти.",ограждение,забор
"В вазе стояли увядшие цветы, но их никто не выкидывал.",сосуд,вазе
"Она включила воду и задумалась, пока раковина не наполнилась.",размышлять,задумалась
На полке стояла старая кукла с оторванной рукой и потухшими глазами.,игрушка,кукла
"Он постучал в дверь, но ответа не последовало, хотя свет горел.",результат,ответа
"В углу двора росла одинокая ромашка, которую никто не замечал.",сад,двора
Она выключила будильник и натянула одеяло на голову.,плед,одеяло
"На потолке появилось пятно от протечки, похожее на очертания острова.",грязь,пятно
"Он зашёл в кафе, но передумал и сразу вышел.",кофейня,кафе
"В сумке звенели ключи, мелочь и что-то ещё металлическое.",монета,мелочь
"Она попыталась открыть окно, но оно заклинило от старости.",распахнуть,открыть
"На асфальте валялся сломанный зонт, раскрытый, как крылья летучей мыши.",крыса,
"Он написал сообщение, но так и не отправил его.",письмо,сообщение
"В ванной капал кран, нарушая тишину ночи.",уборная,
Она пересчитала деньги в кошельке и вздохнула.,бумажник,кошельке
"На дереве сидела ворона, наблюдая за происходящим внизу.",любоваться,наблюдая
"Он завязал шарф, хотя на улице было совсем не холодно.",тепло,не холодно
"В ящике стола лежали старые фотографии, которые никто не смотрел.",коробка,
Она наступила на лего босой ногой и чуть не закричала.,встать,наступила
"На экране телефона появилось уведомление, но она его проигнорировала.",монитор,экране
Он выпил последний глоток воды и поставил стакан в раковину.,умывальник,раковину
"В коридоре скрипнула половица, хотя в доме никого не было.",доска,половица
Она открыла книгу на случайной странице и начала читать.,произведение,книгу
На стене висела карта мира с отметками в неожиданных местах.,земля,мира
"Он потянулся за пультом, но так и не включил телевизор.",лентяйка,пультом
В траве лежала потерянная кем-то серебряная пуговица.,металл,серебряная
"Она зажгла ароматическую свечу, но запах оказался слишком резким.",аромат,запах
На балкон соседа прилетел голубь и сел на перила.,птица мира,голубь
"Он попытался вспомнить имя человека, но память подвела.",запоминающее устройство,
"В шкафу висело пальто, которое никто не носил уже годы.",гардероб,шкафу
"Она налила молоко в кофе и заметила, что оно свернулось.",латте,кофе
"На подъезде кто-то написал маркером ""Здесь был Вася"".",фломастер,маркером
"Он снял часы и положил их на тумбочку, хотя время ещё шло.",наручные часы,часы
"В пруду плавала утка с утятами, и люди бросали им хлеб.",гусь,
"Она завязала волосы в хвост, но через минуту они снова рассыпались.",прядь,волосы
На крыльце сидел рыжий кот и вылизывал лапу.,веранда,крыльце
"Он достал из кармана монету и подбросил её, но не поймал.",металлические деньги,монету
"Ветер сорвал с дерева последний лист, и наступила зима.",страница,
